,x,y,label
279,7.5440397,2.4813268,Unmodified
280,8.357375,3.156089,Unmodified
281,4.8010073,0.816787,Unmodified
282,10.164023,8.925443,Unmodified
283,-1.3947239,7.7912087,Unmodified
284,-3.5216854,5.4275436,Unmodified
285,7.017304,1.4984871,Unmodified
286,1.9132138,8.109485,Unmodified
287,6.423253,2.755279,Unmodified
288,5.001712,9.553386,Unmodified
289,-1.9835458,7.3557076,Unmodified
290,3.8402274,2.3317204,Unmodified
291,5.5958614,1.317919,Unmodified
292,3.7214022,1.4459666,Unmodified
293,8.531643,4.170537,Unmodified
294,-2.0773027,7.6095357,Unmodified
295,10.784151,9.00879,Unmodified
296,-3.6574554,5.4353848,Unmodified
297,-1.570167,8.375316,Unmodified
298,10.0508175,8.769934,Unmodified
299,6.237034,4.3238626,Unmodified
300,10.940034,4.943014,Unmodified
301,-2.4286494,6.846735,Unmodified
302,1.5659806,8.002111,Unmodified
303,6.2582664,1.5257231,Unmodified
304,9.729059,3.5414891,Unmodified
305,3.7646785,1.5587586,Unmodified
306,8.372001,3.646487,Unmodified
307,5.6980424,1.3479793,Unmodified
308,-3.4603493,5.633669,Unmodified
309,1.5400372,7.7681518,Unmodified
310,5.203765,8.819966,Unmodified
311,8.644356,4.3542724,Unmodified
312,10.1024065,7.0642576,Unmodified
313,-1.805734,8.070256,Unmodified
314,4.868896,7.9654083,Unmodified
315,4.814541,8.046734,Unmodified
316,10.188375,8.860151,Unmodified
317,6.1120324,1.6509918,Unmodified
318,5.1014028,9.616459,Unmodified
319,7.4376044,2.4324546,Unmodified
320,-2.4207819,7.043443,Unmodified
321,7.9131417,5.5520844,Unmodified
322,-3.558456,5.464623,Unmodified
323,1.5773708,7.847169,Unmodified
324,4.8915153,7.948899,Unmodified
325,5.4486456,1.1389506,Unmodified
326,9.041752,7.052883,Unmodified
327,-0.9617815,8.025914,Unmodified
328,5.1801677,9.656128,Unmodified
329,10.204995,7.0189095,Unmodified
330,8.772632,3.538492,Unmodified
331,3.4920464,2.2012684,Unmodified
332,9.591504,6.4914093,Unmodified
333,3.8189251,1.1660962,Unmodified
334,-1.8987788,7.4907646,Unmodified
335,6.9386735,1.5162463,Unmodified
336,4.238324,0.78863746,Unmodified
337,7.446426,1.5596396,Unmodified
338,1.5067648,7.7451625,Unmodified
339,0.25834522,8.011639,Unmodified
340,5.8525553,1.5186541,Unmodified
341,8.819799,3.4351554,Unmodified
342,9.968646,6.99811,Unmodified
343,4.7859497,0.80649495,Unmodified
344,-1.6398996,8.181854,Unmodified
345,3.867637,0.967381,Unmodified
346,8.825889,3.467631,Unmodified
347,-1.5628957,8.738022,Unmodified
348,5.670721,1.387581,Unmodified
349,0.57302076,8.036047,Unmodified
350,10.237019,8.635329,Unmodified
351,7.3479705,1.8849746,Unmodified
352,5.3026705,1.1284572,Unmodified
353,5.5573163,8.840952,Unmodified
354,-1.5663884,8.753174,Unmodified
355,1.732549,8.02395,Unmodified
356,4.9774494,8.027709,Unmodified
357,5.2701197,9.548625,Unmodified
358,7.520502,1.9015985,Unmodified
359,5.888338,3.269338,Unmodified
